cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_069,logistics_constrained,0.8,1.5,2026200000,7,0.823153716,0.863489654,0.866067343,0.04291362700000001,0.040335938000000016,0.002577688999999994
phase_069,logistics_constrained,0.8,1.5,2026200000,30,0.522322822,0.62832327,0.656461875,0.13413905299999995,0.10600044799999997,0.028138604999999983
phase_069,logistics_constrained,0.8,1.5,2026200000,90,0.0,0.0,0.28808395,0.28808395,0.0,0.28808395
phase_069,logistics_constrained,0.8,1.5,2026200000,180,0.0,0.0,0.187874993,0.187874993,0.0,0.187874993
phase_069,logistics_constrained,0.8,1.5,2026200000,360,0.0,0.0,0.0,0.0,0.0,0.0
phase_069,logistics_constrained,0.8,1.5,2026200001,7,0.852596307,0.902656336,0.902657504,0.050061197,0.05006002899999995,1.1680000000513502e-06
phase_069,logistics_constrained,0.8,1.5,2026200001,30,0.870286315,0.902920183,0.902921728,0.03263541300000006,0.03263386800000001,1.545000000047203e-06
phase_069,logistics_constrained,0.8,1.5,2026200001,90,0.867692426,0.893843073,0.903831537,0.036139111,0.026150647000000027,0.009988463999999975
phase_069,logistics_constrained,0.8,1.5,2026200001,180,0.141004,0.583948627,0.585514672,0.44451067199999994,0.44294462700000004,0.0015660449999999049
phase_069,logistics_constrained,0.8,1.5,2026200001,360,0.0,0.717527462,0.718106933,0.718106933,0.717527462,0.0005794709999999981
phase_069,logistics_constrained,0.8,1.5,2026200002,7,0.904271273,0.904303535,0.904307101,3.5828000000015514e-05,3.226200000006063e-05,3.565999999954883e-06
phase_069,logistics_constrained,0.8,1.5,2026200002,30,0.904730112,0.904722314,0.904728332,-1.779999999951265e-06,-7.797999999947791e-06,6.017999999996526e-06
phase_069,logistics_constrained,0.8,1.5,2026200002,90,0.905598815,0.905542327,0.905541103,-5.771199999993204e-05,-5.6487999999910166e-05,-1.2240000000218743e-06
phase_069,logistics_constrained,0.8,1.5,2026200002,180,0.906845699,0.903348005,0.906873818,2.8118999999993122e-05,-0.0034976939999999956,0.0035258129999999888
phase_069,logistics_constrained,0.8,1.5,2026200002,360,0.909230383,0.903073496,0.903325249,-0.005905134000000034,-0.006156887000000055,0.0002517530000000212
phase_069,logistics_constrained,0.8,1.5,2026200003,7,0.849141503,0.754474419,0.868541721,0.019400218000000025,-0.09466708400000001,0.11406730200000004
phase_069,logistics_constrained,0.8,1.5,2026200003,30,0.747632208,0.0,0.807167314,0.059535106000000004,-0.747632208,0.807167314
phase_069,logistics_constrained,0.8,1.5,2026200003,90,0.642921472,0.0,0.727345546,0.08442407399999996,-0.642921472,0.727345546
phase_069,logistics_constrained,0.8,1.5,2026200003,180,0.0,0.0,0.598001429,0.598001429,0.0,0.598001429
phase_069,logistics_constrained,0.8,1.5,2026200003,360,0.0,0.0,0.0,0.0,0.0,0.0
