factor_starting_structure,factor_channels,factor_channel_count,factor_dose_regime,factor_intensity,factor_normalized_total_effort,n,mean_gain_q_vs_control,median_gain_q_vs_control,gain_q_boot95_lo,gain_q_boot95_hi,mean_gain_capability_vs_control,median_gain_capability_vs_control,gain_capability_boot95_lo,gain_capability_boot95_hi
near_tie_low,forcegen+command,2,equal_total_effort,0.5,0.5,16,0.045658123562500014,0.03712952350000001,-0.09531579438281247,0.17754295451093743,0.07496727825,0.0,-0.115298409446875,0.26721114671718743
near_tie_low,forcegen+command,2,equal_total_effort,1.0,1.0,16,0.070987986,0.048627866999999964,-0.05707508845312499,0.21388079833437498,0.0786720800625,0.0,-0.1011909055765625,0.26936126037656244
near_tie_low,forcegen+logistics,2,equal_channel_dose,0.5,1.0,16,0.092230301,0.0038364439999999944,-0.007677568042187492,0.22565686232499985,0.07970963187500002,-0.002550662499999967,-0.014677319435937477,0.21688925296562497
near_tie_low,forcegen+logistics,2,equal_channel_dose,1.0,2.0,16,0.02588344875,0.018829393500000013,-0.05713478993437498,0.10388955644374996,0.21892136012500002,0.09488693000000004,0.07411090471875001,0.38475823899062495
near_tie_low,forcegen+logistics,2,equal_total_effort,0.5,0.5,16,0.04826245581250001,0.026947200500000046,-0.05750273063437497,0.16367127248281244,0.0449399894375,0.0,-0.005935742312500017,0.140780044584375
near_tie_low,forcegen+logistics,2,equal_total_effort,1.0,1.0,16,0.092230301,0.0038364439999999944,-0.007677568042187492,0.22565686232499985,0.07970963187500002,-0.002550662499999967,-0.014677319435937477,0.21688925296562497
near_tie_low,forcegen+logistics+command,3,equal_channel_dose,0.5,1.5,16,0.03121187325000002,0.005243486500000061,-0.12912417104062499,0.19931092182968735,0.0339241106875,-0.00041207599999998346,-0.21366906002187502,0.2810149001828125
near_tie_low,forcegen+logistics+command,3,equal_channel_dose,1.0,3.0,16,0.1543178045,0.11907104299999999,-0.01449734322187496,0.32007309257499994,0.04817662493749998,0.04801482500000004,-0.19280028908281252,0.28260316109531236
near_tie_low,forcegen+logistics+command,3,equal_total_effort,0.5,0.5,16,0.015691287312499982,0.005125471999999992,-0.15679788777968748,0.19398987986093744,-0.05228663575,0.0,-0.20918863742031246,0.10105267277656246
near_tie_low,forcegen+logistics+command,3,equal_total_effort,1.0,1.0,16,0.04011564525,0.06136693700000001,-0.1068973167703125,0.17635761401874997,0.08995411018750002,0.0,-0.01581010023437499,0.242730561715625
near_tie_low,logistics,1,single_reference,0.5,0.5,16,0.0763885594375,3.120049999999486e-05,-0.02465896972968749,0.2118250828953125,0.07963387075000003,-0.002550662499999967,-0.014524214134374987,0.2166852598265625
near_tie_low,logistics,1,single_reference,1.0,1.0,16,-0.048611565874999985,1.1970000000083303e-06,-0.13471058141562497,0.02362099684687498,0.2188244104375,0.09488693000000004,0.07391853090156249,0.3847581373781249
near_tie_low,logistics+command,2,equal_channel_dose,0.5,1.0,16,0.0016987612500000172,-0.0032283184999999937,-0.1666901965046875,0.17923519196406248,0.033822744625000026,-0.0009157415000000113,-0.2137985332140625,0.2801548511078124
near_tie_low,logistics+command,2,equal_channel_dose,1.0,2.0,16,0.1245762168125,0.0699704055,-0.0618929386859375,0.30282506365624995,0.04830909368750001,0.048019855,-0.19280027460781252,0.28293942598281246
near_tie_low,logistics+command,2,equal_total_effort,0.5,0.5,16,0.07793007756250002,0.02982713749999999,-0.10669499193281247,0.2587927103609373,0.14367576543750002,0.00040763399999999006,-0.003415096962499991,0.3023454858656248
near_tie_low,logistics+command,2,equal_total_effort,1.0,1.0,16,0.0016987612500000172,-0.0032283184999999937,-0.1666901965046875,0.17923519196406248,0.033822744625000026,-0.0009157415000000113,-0.2137985332140625,0.2801548511078124
